id,src_x,src_y,dst_x,dst_y
0,11,75,168,525
1,16,150,172,843
2,75,14,427,218
3,138,128,635,732
4,308,21,1302,223
5,234,38,1020,321
6,370,141,1510,748
7,414,101,1685,574
8,618,59,2468,357
9,600,152,2377,771
10,736,130,2896,644
11,853,63,3351,338
12,841,163,3278,771
13,869,244,3374,1094
14,799,322,3106,1401
15,902,351,3490,1497
16,685,253,2681,1152
17,549,316,2166,1408
18,636,309,2489,1374
19,425,230,1702,1111
20,413,343,1647,1536
21,249,281,1031,1324
22,140,323,617,1507
23,18,324,160,1533
24,40,478,234,2104
25,161,491,691,2126
26,262,460,1074,2002
27,399,475,1586,2034
28,467,465,1849,1985
29,493,520,1935,2175
30,661,503,2584,2087
31,632,363,2475,1580
32,748,391,2909,1668
33,706,458,2752,1921
34,856,360,3313,1539
35,900,448,3479,1862
36,868,504,3359,2056
37,868,576,3356,2318
38,775,633,3001,2535
39,852,653,3292,2595
40,675,693,2633,2761
41,636,581,2479,2363
42,565,653,2212,2642
43,502,615,1973,2515
44,493,699,1944,2814
45,389,594,1545,2451
46,451,652,1784,2656
47,349,669,1399,2728
48,181,588,765,2465
49,186,691,785,2822
50,97,620,443,2593
51,86,705,411,2895
52,2,659,92,2748
53,27,784,189,3184
54,195,726,817,2952
55,219,837,913,3332
56,310,805,1252,3206
57,417,808,1656,3204
58,501,775,1976,3078
59,496,850,1955,3331
60,459,896,1824,3497
61,562,860,2208,3355
62,640,889,2500,3444
63,706,868,2755,3366
64,775,825,3009,3201
65,811,861,3146,3320
66,862,851,3335,3276
67,914,771,3530,2994
68,630,12,2521,127
69,406,4,1678,122
70,352,6,1471,143
71,115,33,572,311
72,365,75,1505,468
73,311,9,1310,166
74,85,870,410,3471
75,300,710,1208,2881
76,559,455,2194,1929
77,490,224,1948,1078
78,821,41,3236,241
79,851,105,3332,532
80,462,110,1864,616
81,486,183,1942,917
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
