src_x,src_y,dst_x,dst_y
11,75,168,525
16,150,172,843
75,14,427,218
138,128,635,732
308,21,1302,223
234,38,1020,321
370,141,1510,748
414,101,1685,574
618,59,2468,357
600,152,2377,771
736,130,2896,644
853,63,3351,338
841,163,3278,771
869,244,3374,1094
799,322,3106,1401
902,351,3490,1497
685,253,2681,1152
549,316,2166,1408
636,309,2489,1374
425,230,1702,1111
413,343,1647,1536
249,281,1031,1324
140,323,617,1507
18,324,160,1533
40,478,234,2104
161,491,691,2126
262,460,1074,2002
399,475,1586,2034
467,465,1849,1985
493,520,1935,2175
661,503,2584,2087
632,363,2475,1580
748,391,2909,1668
706,458,2752,1921
856,360,3313,1539
900,448,3479,1862
868,504,3359,2056
868,576,3356,2318
775,633,3001,2535
852,653,3292,2595
675,693,2633,2761
636,581,2479,2363
565,653,2212,2642
502,615,1973,2515
493,699,1944,2814
389,594,1545,2451
451,652,1784,2656
349,669,1399,2728
181,588,765,2465
186,691,785,2822
97,620,443,2593
86,705,411,2895
2,659,92,2748
27,784,189,3184
195,726,817,2952
219,837,913,3332
310,805,1252,3206
417,808,1656,3204
501,775,1976,3078
496,850,1955,3331
459,896,1824,3497
562,860,2208,3355
640,889,2500,3444
706,868,2755,3366
775,825,3009,3201
811,861,3146,3320
862,851,3335,3276
914,771,3530,2994
630,12,2521,127
406,4,1678,122
352,6,1471,143
115,33,572,311
365,75,1505,468
311,9,1310,166
85,870,410,3471
300,710,1208,2881
559,455,2194,1929
490,224,1948,1078
821,41,3236,241
851,105,3332,532
462,110,1864,616
486,183,1942,917
